大类,小类,审核要求,判断结果,证据,判断说明,置信度
运输要求,磁体运输尺寸 - 带外壳,1. Ingenia 3.0T：1870x2280mm（重量 6100kg）；2. Ingenia MR 5300：1870x2280mm（重量 3700kg）；3. Ingenia MR 7700：1870x2280mm（重量 6300kg）；4. Achieva 1.5T：2060x1780x2400mm（重量 3800kg）；5. Ingenia 3.0T CX：1920x1780x2480mm（重量 5660kg）Prodiva 1.5T 2020x1880x2200mm（重量3665kg）Multiva 1.5T 2060x1780x2400mm （重量 4500kg）Achieva 3.0T：1920x1780x2480mm（重量 6100kg）Ingenia Elition  1870x2280mm（重量6300kg),UNKNOWN,,图纸中未找到可验证的相关证据,0.0
运输要求,存放条件 - 温度,1. 常规：-20~50°C；由于每台机器都有测试水膜，水膜适用温度在 5~50°C，过低都会把水膜冻裂,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
运输要求,存放条件 - 湿度,5%~95%（无冷凝）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
运输要求,存放条件 - 仓库面积,大于 40m²，封闭区域,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
运输要求,存放条件 - 大气压力,1. Ingenia 3.0T/Ingenia MR 7700/Ingenia 3.0T CX/Prodiva 1.5T/Mulitiva 1.5T/Ingenia Elition ：50kPa~106kPa；2. Ingenia MR 5300：700hPa~1100hPa；3. Achieva 1.5T：无明确要求（默认遵循常规）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
运输要求,存放条件 - 倾斜角度,1. 无额外液氦挥发：≤5°（Ingenia 3.0T/Ingenia 3.0T CX）；≤20°（Ingenia MR 5300/Ingenia MR 7700）；2. 大量液氦挥发：≤20°（所有型号）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
机房选址,静态铁磁物体,"1. 磁体中心轴两侧 3mx3m 范围内：地面以下 50mm 内无铁磁物质；50~250mm 内铁磁物质≤25kg/m²；250mm 以下可忽略，需均匀分布；2. 非均匀铁磁物质（如钢梁）：长轴垂直 Z 轴时距等中心 > 1.25m，其他角度 > 1.6m；3. 大质量铁磁物质 / 结构距磁体中心≥2.5m ,3 在最终完成地面以下 0.25m 至 0.68m 之间，非均匀的铁磁性物质（如钢梁）的长
轴方向必须与磁体 Z 轴垂直。
⚫ 其他角度的铁磁性物质必须距离最终完成地面 0.68m 以外。
⚫ 质量较大的铁磁性物质或铁制结构必须放置在磁体中心至少 2.5m 远的地方。（对于Achieva,Prodiva ,)",UNKNOWN,p1:1 1.5 2.2 7000 2400 0.5mT出墙， 需做铁磁屏蔽 2500 Z 5000 检查室 1.2 1.1 磁体入口，洞口大小： 2300宽x2600高 洞口待磁体进入后再砌墙封闭 8进水管需加三通 分别接至空调、 水冷机和LCC,证据仅包含零散尺寸、设备参数及施工提示（如洞口尺寸、水管三通、屏蔽要求等），未提供任何关于地面以下各深度层铁磁物质分布、质量密度、钢梁位置/方向、或与磁体中心距离等关键信息，无法验证三项审核要点。,0.1
机房选址,移动铁磁物体最小距离,需根据物体重量及与磁体等中心的轴向（Z 轴 / X/Y 轴）距离确定，重量越大、距离越近，要求越严格（具体参照各型号手册中的距离表格）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
机房选址,移动的磁化物体,安全距离 = 移动铁磁物体质量 ×10，再参照 “移动铁磁性物体最小距离要求表” 查询,UNKNOWN,p1:050 1 2 2m 3m 3200 控制室 2.2 2.1 1.5 2.2 7000 2400 0.5mT出墙， 需做铁磁屏蔽 2500 Z 5000 检查室 1.2 1.1 磁体入口，洞口大小： 2300宽x2600高 洞口待磁体进入后再砌,证据中未提供移动铁磁物体的质量数据，无法计算安全距离（质量×10）；亦未提供‘移动铁磁性物体最小距离要求表’内容，无法对照查表验证是否满足最小距离要求。图中虽有若干数值（如1.2、1.1、2.2等），但未明确其物理含义及对应对象，无法确认是否为实测/设计距离或是否覆盖所有必要位置。,0.3
机房选址,电力轨道交通系统最小距离,1. 电流 750A：平行 Z 轴（0°）18m，90°24m（Ingenia 3.0T/Ingenia MR 7700/Achieva 3.0T/Ingenia Elition）；17m（0°），25m（90°）（Ingenia MR 5300/Achieva 1.5T/Multiva1.5T）；平行 Z 轴（0°）17m，90°25m（Prodiva）2. 电流 2000A：平行 Z 轴（0°）26m，90°34m（Ingenia 3.0T/Ingenia MR 7700/Achieva 3.0T/Ingenia Elition ）；32m（0°），41m（90°）（Ingenia MR 5300/Achieva 1.5T）;18m（0°），41m（90°）（Prodiva1.5t/Multiva1.5T）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
机房选址,电磁场干扰源最小距离,1. 电缆线：22.4×√电流大小（A）（厘米）；2. 变压器：39.4× 功率（KVA）（厘米）；3. 电动机：91.4× 功率（KVA）（厘米）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
机房选址,磁体间干扰,"1. 相邻磁共振等中心场强 <0.05mT：允许；2. 0.05~0.3mT：需重新匀场；3.>0.3mT：不允许(此值只限于飞利浦磁共振系统,其他品牌需要和其他厂商确认）",UNKNOWN,,图纸中未找到可验证的相关证据,0.0
机房选址,振动干扰 - 连续振动,1. 来源：电动马达、空调系统等；2. 解决方式：去除振动源或安装防震垫,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
机房选址,振动干扰 - 随机振动,1. 来源：车辆、人员走动、建筑共振等；2. 解决方式：改变建筑结构（如安装隔离平台），需专业工程师设计,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
机房选址,干扰测试,1. 测试内容：DC、AC、Vibration；2. 测试探头：磁体中心位置，沿 Z 轴放置，每偏转 45° 测试；3. 测试时段：工作时段，干扰源开启至最大值；4. 测试取值：Peak-to-Peak 值,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
施工要求,通用要求,1. 机房准备及监理需由有资质专业公司负责，客户签订合同并监督；2. 遵守国家 / 地方相关法规；3. 飞利浦提供设备重量等数据供参考，客户 / 施工单位负责地面 / 天花 / 墙面承重确认；4. 严格检查房间尺寸，偏差需及时告知飞利浦,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
检查室要求,净尺寸 - 长度,"1. 推荐：Ingenia 3.0T>7500mm，Ingenia MR 5300/Ingenia Elition>7000mm，Achieva 1.5T/Multiva 1.5T>7000mm，Ingenia MR 7700>7000mm，Ingenia 3.0T CX/Achieva 3.0T>7500mm；2. 最小：所有型号(除了Prodiva 1.5T)≥6100mm 3 Prodiva 1.5T >70000mm,最小5700mm",UNKNOWN,,图纸中未找到可验证的相关证据,0.0
检查室要求,净尺寸 - 宽度,"1. 推荐：Ingenia 3.0T>6000mm，Ingenia MR 5300>4800mm，Achieva 1.5T/Multiva 1.5T>5000mm，Ingenia MR 7700/Ingenia Elition>6200mm，Ingenia 3.0T CX/Achieva 3.0T>6000mm；2. 最小：所有型号≥4500mm 3 Prodiva>4700MM,最小3350mm磁体左侧最小 1805mm，右侧最小 1542mm。,Ingenia Elition 当磁体中心距后方完成面＞2m 时，最小宽度为 3.4m。当磁体中心距后方完成面＜2m时，最小宽度为 3.6m。",UNKNOWN,p1:面 开洞，具体位置由工程 师现场沟通决定 设备室 两台MR共用 3.5 3.6 3.1 3.7 600 室外失超管从磁体后方 至走廊，向下至负一预 留地洞到一楼外墙，抬升 至5m水平排放， 预计长30米，90°弯头3个 空调与冷水机室外 机平台,证据中仅提及设备室尺寸（如3.5、3.6、3.1、3.7米等数值），但未明确标注对应哪一维度（宽/深/高），未说明是磁体中心线所在位置的净宽度，也未指明具体MR型号、磁体布置朝向、磁体中心距后方完成面距离等关键参数，无法对照审核要点中关于推荐宽度、最小宽度（含3.4m/3.6m条件判断）、左右侧最小间距（1805mm/1542mm）等要求进行验证。,0.1
检查室要求,净尺寸 - 屏蔽屋高度,1. 推荐：所有型号 > 3200mm；2. 最小：所有型号≥3000mm（Ingenia MR 7700 建议≥3000mm，Ingenia 3.0T CX 建议≥3200mm）Prodiva 最小2650MM，小屏蔽高度取决于假顶与失超管高度,UNKNOWN,p1:接，需在墙面 开洞，具体位置由工程 师现场沟通决定 设备室 两台MR共用 3.5 3.6 3.1 3.7 600 室外失超管从磁体后方 至走廊，向下至负一预 留地洞到一楼外墙，抬升 至5m水平排放， 预计长30米，90°弯头3个 空调与冷水机室,证据中未提及MR设备安装场地的净高（即屏蔽室或机房的室内净高度），也未说明所涉MR型号（如Ingenia MR 7700、Ingenia 3.0T CX或Prodiva等），无法判断是否满足≥3000mm最小高度或≥3200mm推荐高度要求。失超管抬升至5m仅反映排放路径高度，与室内安装净高无直接对应关系。,0.2
检查室要求,房间通用要求,1. 室内金属物体需为非铁磁性材料；2. 接入的电线、管道等需通过滤波器 / 波导管滤波；3. 房顶无水管 / 水槽，下方避免管道经过；4. 防止屏蔽体泡水,FAIL,p1:地漏 Ø50mm的下水管 1m 3.0 通至室外下水沟 装饰层 屏蔽层 原始墙 1.3 235 200 200 3.8 室内盘管与室外机之间 有管路连接，需在墙面 开洞，具体位置由工程 师现场沟通决定 设备室 两台MR共用 3.5 3.6 3. | p1:6000长，2000宽， 高出地面200 C20以上基础 注： 0.5mT磁场控制区域，带心脏起搏 器、胰岛素泵和其他金属在体内的 病人，请勿进入。 更衣1 系统布局图 3.9 3.11 A1 2/13 本套图纸中的信息仅供各户参考，不能作为,证据显示存在'地漏 Ø50mm的下水管 1m ... 通至室外下水沟'，且明确穿过屏蔽层（'装饰层 屏蔽层 原始墙'），违反审核要点第2条（接入管道需经滤波器/波导管滤波）和第4条（防止屏蔽体泡水——下水管若渗漏或冷凝可能致屏蔽层受潮）；同时，下水管为铁磁性材料（常规铸铁或钢制）可能性极高，违反要点第1条（室内金属物体需为非铁磁性材料）。无任何证据表明该管道采取了滤波、非铁磁材质或防水隔离措施。,0.95
检查室要求,屏蔽要求 - 衰减值,频率 10M-130MHz 范围内，衰减值≥100dB，安装前需第三方检测（标准：MIL-STD-285 或 GB/T 12190）,UNKNOWN,p1:人，请勿进入。 更衣1 系统布局图 3.9 3.11 A1 2/13 本套图纸中的信息仅供各户参考，不能作为建筑施工图纸或文件直接使用。,提供的证据仅为图纸页眉/图例中的无关文字（如'人，请勿进入'、'更衣1'、'系统布局图'及免责声明），未包含任何关于频率范围（10M-130MHz）、衰减值（≥100dB）、屏蔽性能测试要求或第三方检测依据（MIL-STD-285 或 GB/T 12190）的信息。,0.1
检查室要求,屏蔽要求 - 绝缘,屏蔽室对地绝缘电阻 > 3kΩ,UNKNOWN,p1:0 1 2 2m 3m 3200 控制室 2.2 2.1 1.5 2.2 7000 2400 0.5mT出墙， 需做铁磁屏蔽 2500 Z 5000 检查室 1.2 1.1 磁体入口，洞口大小： 2300宽x2600高 洞口待磁体进入后再砌墙封,证据中未提及屏蔽室对地绝缘电阻的测试值、测量方法或相关技术参数，无法判断是否满足 > 3kΩ 的要求。,0.1
检查室要求,屏蔽要求 - 门机联锁,1. 屏蔽门行程开关需连接至 DACC 机柜，留出 2m 余量；2. 屏蔽门打开时设备禁止发射电磁波，否则可能导致电磁辐射风险,UNKNOWN,p1:0 1 2 2m 3m 3200 控制室 2.2 2.1 1.5 2.2 7000 2400 0.5mT出墙， 需做铁磁屏蔽 2500 Z 5000 检查室 1.2 1.1 磁体入口，洞口大小： 2300宽x2600高 洞口待磁体进入后再砌墙封 | p1:m 3.0 通至室外下水沟 装饰层 屏蔽层 原始墙 1.3 235 200 200 3.8 室内盘管与室外机之间 有管路连接，需在墙面 开洞，具体位置由工程 师现场沟通决定 设备室 两台MR共用 3.5 3.6 3.1 3.7 600 室外失超,证据中未提及屏蔽门行程开关的接线路径、是否连接至DACC机柜、余量长度，也未说明屏蔽门打开时设备的电磁发射控制逻辑或相关安全联锁机制。所有引用内容均为建筑尺寸、管路布置、屏蔽层构造等物理布局信息，与两项审核要点无直接关联。,0.1
检查室要求,屏蔽要求 - 材料,屏蔽窗采用钢化安全玻璃，屏蔽室施工由屏蔽公司完成,UNKNOWN,p1:0 1 2 2m 3m 3200 控制室 2.2 2.1 1.5 2.2 7000 2400 0.5mT出墙， 需做铁磁屏蔽 2500 Z 5000 检查室 1.2 1.1 磁体入口，洞口大小： 2300宽x2600高 洞口待磁体进入后再砌墙封,证据中未提及屏蔽窗所用材料（如钢化安全玻璃）及屏蔽室施工责任方（是否由屏蔽公司完成），无法验证两项审核要点。,0.1
检查室要求,失超管要求 - 存在性,1. 需设置：Ingenia 3.0T、Achieva 1.5T/Achieva 3.0T/Multiva 1.5T、Ingenia MR 7700、Ingenia 3.0T CX，Prodiva 1.5T；Ingenia Elition 2. 无需设置：Ingenia MR 5300（BlueSeal 技术）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
检查室要求,地面要求 - 平整度,1. 磁体基础范围（A 区域）：任意两点水平差≤2.5mm（Ingenia 3.0T/Ingenia 3.0T CX/Ingenia Elition）；≤5mm（其他型号）；2. 其他区域（B 区域）：任意两点水平差≤±10mm（Ingenia 3.0T/Ingenia 3.0T CX）；≤20mm（其他型号）；3. 屏蔽层处地面：任意两点水平差≤2.5mm/m（Ingenia 3.0T）；≤5mm（其他型号）,UNKNOWN,p1:预 留地洞到一楼外墙，抬升 至5m水平排放， 预计长30米，90°弯头3个 空调与冷水机室外 机平台(须远离失 超管排放区域) 6000长，2000宽， 高出地面200 C20以上基础 注： 0.5mT磁场控制区域，带心脏起搏 器、胰岛素泵和其 | p1:共用 3.5 3.6 3.1 3.7 600 室外失超管从磁体后方 至走廊，向下至负一预 留地洞到一楼外墙，抬升 至5m水平排放， 预计长30米，90°弯头3个 空调与冷水机室外 机平台(须远离失 超管排放区域) 6000长，2000宽， 高出,证据中未提供任何关于磁体基础（A区域）、其他区域（B区域）或屏蔽层处地面的水平度测量数据、公差要求、实测值或相关图纸标注；仅提及室外机平台高出地面200mm及失超管路径等与水平度无关的信息，无法判断是否满足各型号对应的水平差限值要求。,0.1
