大类,小类,审核要求,判断结果,证据,判断说明,置信度
机房选址,静态铁磁物体,"1. 磁体中心轴两侧 3mx3m 范围内：地面以下 50mm 内无铁磁物质；50~250mm 内铁磁物质≤25kg/m²；250mm 以下可忽略，需均匀分布；2. 非均匀铁磁物质（如钢梁）：长轴垂直 Z 轴时距等中心 > 1.25m，其他角度 > 1.6m；3. 大质量铁磁物质 / 结构距磁体中心≥2.5m ,3 在最终完成地面以下 0.25m 至 0.68m 之间，非均匀的铁磁性物质（如钢梁）的长
轴方向必须与磁体 Z 轴垂直。
⚫ 其他角度的铁磁性物质必须距离最终完成地面 0.68m 以外。
⚫ 质量较大的铁磁性物质或铁制结构必须放置在磁体中心至少 2.5m 远的地方。（对于Achieva,Prodiva ,)",UNKNOWN,p1:.2 0.5mT出墙， 2.2 需做铁磁屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x2600高 Tm 3 洞口待磁体进入后再砌墙封闭 Tm 1 Tm 5.0 8'进,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176b3c80>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
机房选址,移动铁磁物体最小距离,需根据物体重量及与磁体等中心的轴向（Z 轴 / X/Y 轴）距离确定，重量越大、距离越近，要求越严格（具体参照各型号手册中的距离表格）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
机房选址,移动的磁化物体,安全距离 = 移动铁磁物体质量 ×10，再参照 “移动铁磁性物体最小距离要求表” 查询,UNKNOWN,p1:mpatible-mo...] 2050 7000 2400 Y 控制室 1.5 2.2 0.5mT出墙， 2.2 需做铁磁屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f5910>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
机房选址,电力轨道交通系统最小距离,1. 电流 750A：平行 Z 轴（0°）18m，90°24m（Ingenia 3.0T/Ingenia MR 7700/Achieva 3.0T/Ingenia Elition）；17m（0°），25m（90°）（Ingenia MR 5300/Achieva 1.5T/Multiva1.5T）；平行 Z 轴（0°）17m，90°25m（Prodiva）2. 电流 2000A：平行 Z 轴（0°）26m，90°34m（Ingenia 3.0T/Ingenia MR 7700/Achieva 3.0T/Ingenia Elition ）；32m（0°），41m（90°）（Ingenia MR 5300/Achieva 1.5T）;18m（0°），41m（90°）（Prodiva1.5t/Multiva1.5T）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
机房选址,电磁场干扰源最小距离,1. 电缆线：22.4×√电流大小（A）（厘米）；2. 变压器：39.4× 功率（KVA）（厘米）；3. 电动机：91.4× 功率（KVA）（厘米）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
机房选址,磁体间干扰,"1. 相邻磁共振等中心场强 <0.05mT：允许；2. 0.05~0.3mT：需重新匀场；3.>0.3mT：不允许(此值只限于飞利浦磁共振系统,其他品牌需要和其他厂商确认）",UNKNOWN,,图纸中未找到可验证的相关证据,0.0
机房选址,振动干扰 - 连续振动,1. 来源：电动马达、空调系统等；2. 解决方式：去除振动源或安装防震垫,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
机房选址,振动干扰 - 随机振动,1. 来源：车辆、人员走动、建筑共振等；2. 解决方式：改变建筑结构（如安装隔离平台），需专业工程师设计,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
机房选址,干扰测试,1. 测试内容：DC、AC、Vibration；2. 测试探头：磁体中心位置，沿 Z 轴放置，每偏转 45° 测试；3. 测试时段：工作时段，干扰源开启至最大值；4. 测试取值：Peak-to-Peak 值,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
施工要求,通用要求,1. 机房准备及监理需由有资质专业公司负责，客户签订合同并监督；2. 遵守国家 / 地方相关法规；3. 飞利浦提供设备重量等数据供参考，客户 / 施工单位负责地面 / 天花 / 墙面承重确认；4. 严格检查房间尺寸，偏差需及时告知飞利浦,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
检查室要求,净尺寸 - 长度,"1. 推荐：Ingenia 3.0T>7500mm，Ingenia MR 5300/Ingenia Elition>7000mm，Achieva 1.5T/Multiva 1.5T>7000mm，Ingenia MR 7700>7000mm，Ingenia 3.0T CX/Achieva 3.0T>7500mm；2. 最小：所有型号(除了Prodiva 1.5T)≥6100mm 3 Prodiva 1.5T >70000mm,最小5700mm",UNKNOWN,,图纸中未找到可验证的相关证据,0.0
检查室要求,净尺寸 - 宽度,"1. 推荐：Ingenia 3.0T>6000mm，Ingenia MR 5300>4800mm，Achieva 1.5T/Multiva 1.5T>5000mm，Ingenia MR 7700/Ingenia Elition>6200mm，Ingenia 3.0T CX/Achieva 3.0T>6000mm；2. 最小：所有型号≥4500mm 3 Prodiva>4700MM,最小3350mm磁体左侧最小 1805mm，右侧最小 1542mm。,Ingenia Elition 当磁体中心距后方完成面＞2m 时，最小宽度为 3.4m。当磁体中心距后方完成面＜2m时，最小宽度为 3.6m。",UNKNOWN,p1:间 3.8 有管路连接，需在墙面 3.9 开洞，具体位置由工程 师现场沟通决定 设备室 3.2 3.3 室外失超管从磁体后方 3.4 至走廊，向下至负一预 3940 两台MR共用 留地洞到一楼外墙，抬升 空调与冷水机室外 至5m水平排放， 机平,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f4b30>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
检查室要求,净尺寸 - 屏蔽屋高度,1. 推荐：所有型号 > 3200mm；2. 最小：所有型号≥3000mm（Ingenia MR 7700 建议≥3000mm，Ingenia 3.0T CX 建议≥3200mm）Prodiva 最小2650MM，小屏蔽高度取决于假顶与失超管高度,UNKNOWN,p1:与室外机之间 3.8 有管路连接，需在墙面 3.9 开洞，具体位置由工程 师现场沟通决定 设备室 3.2 3.3 室外失超管从磁体后方 3.4 至走廊，向下至负一预 3940 两台MR共用 留地洞到一楼外墙，抬升 空调与冷水机室外 至5m水平排,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f4560>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
检查室要求,房间通用要求,1. 室内金属物体需为非铁磁性材料；2. 接入的电线、管道等需通过滤波器 / 波导管滤波；3. 房顶无水管 / 水槽，下方避免管道经过；4. 防止屏蔽体泡水,UNKNOWN,p1:外下水沟 水冷机和LCC 装饰层 屏蔽层 原始墙 200 3.7 200 Tm 1.0 600 3.5 3.6 3.1 室内盘管与室外机之间 3.8 有管路连接，需在墙面 3.9 开洞，具体位置由工程 师现场沟通决定 设备室 3.2 3.3 室 | p1:长，2000宽， 高出地面200 C20以上基础 注： 3.11 0.5mT磁场控制区域，带心脏起搏 器、胰岛素泵和其他金属在体内的 病人，请勿进入。 更衣1 氦气排放区域 必须在失超管墙外设置防护栏和警 系 统 布 局 图 告标志，防止意外冻,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f66f0>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
检查室要求,屏蔽要求 - 衰减值,频率 10M-130MHz 范围内，衰减值≥100dB，安装前需第三方检测（标准：MIL-STD-285 或 GB/T 12190）,UNKNOWN,p1:- ---- 院医合结医西中京南 ：LET ：期日 ：例比 ：号目项 ---- ---- ---- ---- 使接直件文或纸图工施筑建为作能不，考参户客供仅息信的中纸图套本 。用 0 1 2 3 4 5m 1 2 3m / 13 05:1 A,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x114c341d0>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
检查室要求,屏蔽要求 - 绝缘,屏蔽室对地绝缘电阻 > 3kΩ,UNKNOWN,p1:atible-mo...] 2050 7000 2400 Y 控制室 1.5 2.2 0.5mT出墙， 2.2 需做铁磁屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1173722a0>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
检查室要求,屏蔽要求 - 门机联锁,1. 屏蔽门行程开关需连接至 DACC 机柜，留出 2m 余量；2. 屏蔽门打开时设备禁止发射电磁波，否则可能导致电磁辐射风险,UNKNOWN,p1:atible-mo...] 2050 7000 2400 Y 控制室 1.5 2.2 0.5mT出墙， 2.2 需做铁磁屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x | p1:蔽层 原始墙 200 3.7 200 Tm 1.0 600 3.5 3.6 3.1 室内盘管与室外机之间 3.8 有管路连接，需在墙面 3.9 开洞，具体位置由工程 师现场沟通决定 设备室 3.2 3.3 室外失超管从磁体后方 3.4 至走廊，,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f49b0>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
检查室要求,屏蔽要求 - 材料,屏蔽窗采用钢化安全玻璃，屏蔽室施工由屏蔽公司完成,UNKNOWN,p1:atible-mo...] 2050 7000 2400 Y 控制室 1.5 2.2 0.5mT出墙， 2.2 需做铁磁屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f5070>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
检查室要求,失超管要求 - 存在性,1. 需设置：Ingenia 3.0T、Achieva 1.5T/Achieva 3.0T/Multiva 1.5T、Ingenia MR 7700、Ingenia 3.0T CX，Prodiva 1.5T；Ingenia Elition 2. 无需设置：Ingenia MR 5300（BlueSeal 技术）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
检查室要求,地面要求 - 平整度,1. 磁体基础范围（A 区域）：任意两点水平差≤2.5mm（Ingenia 3.0T/Ingenia 3.0T CX/Ingenia Elition）；≤5mm（其他型号）；2. 其他区域（B 区域）：任意两点水平差≤±10mm（Ingenia 3.0T/Ingenia 3.0T CX）；≤20mm（其他型号）；3. 屏蔽层处地面：任意两点水平差≤2.5mm/m（Ingenia 3.0T）；≤5mm（其他型号）,UNKNOWN,p1:用 留地洞到一楼外墙，抬升 空调与冷水机室外 至5m水平排放， 机平台(须远离失 预计长30米，90°弯头3个 超管排放区域) 6000长，2000宽， 高出地面200 C20以上基础 注： 3.11 0.5mT磁场控制区域，带心脏起搏 器、胰 | p1:失超管从磁体后方 3.4 至走廊，向下至负一预 3940 两台MR共用 留地洞到一楼外墙，抬升 空调与冷水机室外 至5m水平排放， 机平台(须远离失 预计长30米，90°弯头3个 超管排放区域) 6000长，2000宽， 高出地面200 C20,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f6a50>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
